ticker,name
5.HK,HSBC Holdings plc
388.HK,HKEx Limited
939.HK,China Construction Bank
1299.HK,AIA Group Limited
1398.HK,Industrial and Commercial Bank of China
2318.HK,Ping An Insurance
2388.HK,BOC Hong Kong (Holdings) Ltd
2628.HK,China Life
3968.HK,China Merchants Bank
3988.HK,Bank of China Ltd
2.HK,CLP Holdings Limited
3.HK,Hong Kong and China Gas Company Limited
6.HK,Power Assets Holdings Limited
836.HK,China Resources Power
1038.HK,Cheung Kong Infrastructure Holdings Limited
2688.HK,ENN Energy
12.HK,Henderson Land Development Company Limited
16.HK,Sun Hung Kai Properties Limited
101.HK,Hang Lung Properties Limited
688.HK,China Overseas Land & Investment Limited
823.HK,Link REIT
960.HK,Longfor Properties
1109.HK,China Resources Land Limited
1113.HK,CK Asset Holdings
1209.HK,China Resources Mixc Lifestyle
1997.HK,Wharf Real Estate Investment Company Limited
1.HK,CK Hutchison Holdings Limited
27.HK,Galaxy Entertainment Group Ltd.
66.HK,MTR Corporation Ltd
175.HK,Geely Auto
241.HK,Alibaba Health
267.HK,CITIC Limited
285.HK,BYD Electronics
288.HK,WH Group
291.HK,China Resources Beer
300.HK,Midea Group
316.HK,Orient Overseas (International) Limited
322.HK,Tingyi
386.HK,Sinopec Corp
669.HK,Techtronic Industries
700.HK,Tencent Holdings Limited
762.HK,China Unicom
857.HK,PetroChina Company Limited
868.HK,Xinyi Glass
881.HK,Zhongsheng Group
883.HK,CNOOC Limited
941.HK,China Mobile Ltd
968.HK,Xinyi Solar
981.HK,Semiconductor Manufacturing International Corporation
992.HK,Lenovo
1024.HK,Kuaishou
1044.HK,Hengan International Group Co. Ltd
1088.HK,China Shenhua Energy
1093.HK,CSPC Pharmaceutical Group
1099.HK,Sinopharm Group
1177.HK,Sino Biopharm
1211.HK,BYD Company
1378.HK,China Hongqiao Group
1810.HK,Xiaomi
1876.HK,Budweiser Brewing Company APAC
1928.HK,Sands China
1929.HK,Chow Tai Fook
2015.HK,Li Auto
2020.HK,Anta Sports
2057.HK,ZTO Express
2269.HK,WuXi Biologics
2313.HK,Shenzhou International
2319.HK,Mengniu Dairy
2331.HK,Li-Ning
2359.HK,WuXi AppTec
2382.HK,Sunny Optical
2618.HK,JD Logistics
2899.HK,Zijin Mining
3690.HK,Meituan
3692.HK,Hansoh Pharmaceutical Group
6618.HK,JD Health
6690.HK,Haier
6862.HK,Haidilao
9618.HK,JD.com
9633.HK,Nongfu Spring
9888.HK,Baidu
9961.HK,Trip.com Group
9988.HK,Alibaba Group
9992.HK,Pop Mart
9999.HK,NetEase
